Bairro;Latitude;Longitude
Benfica;-21.6902673;-43.4361424
Nova Era;-21.7084989;-43.4211379
Nova Era I;-21.7084989;-43.4211379
Nova Era II;-21.710185;-43.4257868
Nova Benfica;-21.6983433;-43.4412797
Cidade do Sol;-21.7192878;-43.4091603
Jóquei Clube;-21.7258339;-43.397439
Vila Esperança;-21.6883544;-43.4452279
Vila Esperança II;-21.6883544;-43.4452279
Ponte Preta;-21.6737585;-43.438104
Distrito Industrial;-21.6817745;-43.4379323
Santa Lúcia;-21.6960141;-43.3567927
Barreira do Triunfo;-21.6592309;-43.4296254
Novo Triunfo;-21.6645957;-43.4301769
Miguel Marinho;-21.7094675;-43.4429513
Jóquei Clube II;-21.7124801;-43.4093035
Jóquei Clube III;-21.7111145;-43.4074689
Barbosa Lage;-21.719425;-43.396732
Araújo;-21.691369;-43.4299393
Linhares;-21.7351925;-43.3257724
Bom Jardim;-21.734464;-43.3354923
Grama;-21.6957214;-43.3521846
Parque Guarani;-21.3557889;-43.0509574
Granjas Bethânia;-21.7114712;-43.3610681
Parque Independência;-21.686268;-43.3552042
Nova Suiça;-21.6945399;-43.3511467
Vivendas da Serra;-21.5374575;-43.0153622
Recanto dos Lagos;-21.7051597;-43.337145
Filgueiras;-21.7147219;-43.441851
Aeroporto;-21.785598;-43.3823725
Salvaterra;-21.8059997;-43.374194
Teixeiras;-21.7908663;-43.3623365
Sagrado Coração de Jesus;-21.8122295;-43.3601669
São Geraldo;-21.803847;-43.3399883
Santa Luzia;-21.7868628;-43.3447472
Bela Aurora;-21.7922812;-43.3532797
Ipiranga;-21.7910828;-43.3505054
Santa Efigênia;-21.8005496;-43.3581282
Santa Efigenia;-21.8005496;-43.3581282
Cidade Nova;-21.8038348;-43.3586806
Vale Verde;-21.8073043;-43.3497382
Arco-íris;-21.7096366;-43.3315331
Jardim de Alá;-21.7922414;-43.3473574
Previdenciários;-21.7598627;-43.349008
Jardim Gaúcho;-21.7971328;-43.3611834
São Judas Tadeu;-21.7046381;-43.4388616
Santa Cruz;-21.7123285;-43.4362343
Monte Castelo;-21.7477591;-43.3826033
Carlos Chagas;-21.744351;-43.3908675
Jardim Natal;-21.7321229;-43.3995203
Milho Branco;-21.742265;-43.4061207
Amazônia;-21.7469569;-43.401645
Francisco Bernardino;-21.73497;-43.3982458
Floresta;-21.7512216;-43.2763281
Barão do Retiro;-21.775524;-43.2968953
Usina 4;-21.8080556;-43.3137492
Caetés;-21.8043004;-43.2625977
Retiro;-21.775524;-43.2968953
Parque das Palmeiras;-20.6614898;-43.7659734
Torreões;-21.846225;-43.5958059
Paula Lima;-21.581104;-43.4870407
Alto dos Passos;-21.7762548;-43.3474599
Boa Vista;-21.7814426;-43.3431172
Bom Pastor;-21.7768003;-43.3433149
Borboleta;-21.7605925;-43.3775615
Cascatinha;-21.783859;-43.3630935
Centro;-21.759859;-43.3467271
Granbery;-21.7675479;-43.3437945
Jardim Glória;-21.7530822;-43.3579528
Manoel Honório;-21.7435044;-43.3537058
Mariano Procópio;-21.7461726;-43.3556644
Martelos;-21.7665998;-43.37596
Nossa Senhora Aparecida;-21.7465479;-43.3473422
Nossa Senhora de Lourdes;-21.7704781;-43.3286484
Poço Rico;-21.763706;-43.3392047
Progresso;-21.730895;-43.3464281
Santa Helena;-21.7575053;-43.3561412
São Mateus;-21.7735943;-43.3546617
São Pedro;-21.7708213;-43.3879244
Vila Ideal;-21.7795293;-43.3296541
Aracy;-21.761949;-43.3310087
Bandeirantes;-21.7215787;-43.3541886
Baviera;-21.7747256;-43.3823846
Caiçaras;-21.7606025;-43.3901461
Cerâmica;-21.7390891;-43.3846447
Cruzeiro do Sul;-21.7879975;-43.341993
Eldorado;-21.7309452;-43.3642609
Fábrica;-21.7443938;-43.3709832
Grajaú;-21.7477021;-43.3446465
Graminha;-21.7872259;-43.3376471
Jardim Primavera;-21.0632562;-44.0776634
Lagoa;-21.1168647;-44.1384076
Morro da Glória;-21.7491916;-43.354837
Mundo Novo;-21.7783002;-43.351185
Nova Califórnia;-21.7973058;-43.4008574
Novo Horizonte;-21.7967397;-43.3920036
Santa Cecília;-21.7813481;-43.3528052
Santa Rita de Cássia;-21.7357018;-43.3416431
Santa Terezinha;-21.7417094;-43.3605186
Santo Antônio;-21.7732458;-43.3127406
São Benedito;-21.749488;-43.331506
Vale do Ipê;-21.7533384;-43.3648613
Vila Ozanan;-21.7725414;-43.3360635
Vitorino Braga;-21.7498578;-43.3418637
Dom Bosco;-21.7783082;-43.3626032
Jardim Bom Clima;-21.7277581;-43.3600894
Vale dos Bandeirantes;-21.7215787;-43.3541886
Jardim Paineiras;-21.7657334;-43.3551152
Centenário;-21.7416578;-43.3568138
Dom Orione;-21.7832115;-43.3725241
Jardim Santa Helena;-21.7575053;-43.3561412
Vila Furtado de Menezes;-21.771524;-43.3329005
São Dimas;-21.737684;-43.3765552
Santa Catarina;-21.7508782;-43.3592871
Industrial;-21.7321916;-43.3925353
Vila Olavo Costa;-21.7752599;-43.3366326
Bairu;-21.7375744;-43.3506203
São Bernardo;-21.7579231;-43.3389944
Costa Carvalho;-21.763468;-43.3319785
Ozanan;-21.7725414;-43.3360635
Recanto dos Bruggers;-21.7635034;-43.4064968
Santo Antônio do Paraibuna;-21.7732458;-43.3127406
Bonfim;-21.738407;-43.3447405
Esplanada;-21.740975;-43.3796467
Recanto da Mata;-21.7267254;-43.405915
Cruzeiro de Santo Antônio;-21.7764212;-43.4154673
Santos Anjos;-21.7539516;-43.3438908
Fontesville;-21.7369233;-43.4102621
Pedra Bonita;-21.7518243;-43.4182402
Bomba de Fogo;-21.7874798;-43.3403247
Botanágua;-21.757789;-43.3417926
Cesário Alvim;-21.7551204;-43.3394553
Meggliolário;-21.7450285;-43.3486831
Morro do Imperador;-21.7609958;-43.3628554
Muçunge da Grama;-21.6907777;-43.3409101
Remonta;-21.7026259;-43.4174198
Represa;-21.6422352;-43.3913648
Condomínio Neo Residencial;-21.7617614;-43.3850539
